,filename,label
0,/workspace/data-version-control/data/raw/train/n03445777/n03445777_3608.JPEG,golf ball
1,/workspace/data-version-control/data/raw/train/n03445777/n03445777_485.JPEG,golf ball
2,/workspace/data-version-control/data/raw/train/n03445777/n03445777_333.JPEG,golf ball
3,/workspace/data-version-control/data/raw/train/n03445777/n03445777_2039.JPEG,golf ball
4,/workspace/data-version-control/data/raw/train/n03445777/n03445777_10788.JPEG,golf ball
5,/workspace/data-version-control/data/raw/train/n03445777/n03445777_6918.JPEG,golf ball
6,/workspace/data-version-control/data/raw/train/n03445777/n03445777_1988.JPEG,golf ball
7,/workspace/data-version-control/data/raw/train/n03445777/n03445777_9028.JPEG,golf ball
8,/workspace/data-version-control/data/raw/train/n03445777/n03445777_2078.JPEG,golf ball
9,/workspace/data-version-control/data/raw/train/n03445777/n03445777_237.JPEG,golf ball
10,/workspace/data-version-control/data/raw/train/n03445777/n03445777_5139.JPEG,golf ball
11,/workspace/data-version-control/data/raw/train/n03445777/n03445777_6324.JPEG,golf ball
12,/workspace/data-version-control/data/raw/train/n03445777/n03445777_3429.JPEG,golf ball
13,/workspace/data-version-control/data/raw/train/n03445777/n03445777_9993.JPEG,golf ball
14,/workspace/data-version-control/data/raw/train/n03445777/n03445777_6534.JPEG,golf ball
15,/workspace/data-version-control/data/raw/train/n03445777/ILSVRC2012_val_00046468.JPEG,golf ball
16,/workspace/data-version-control/data/raw/train/n03445777/n03445777_4354.JPEG,golf ball
17,/workspace/data-version-control/data/raw/train/n03445777/n03445777_153.JPEG,golf ball
18,/workspace/data-version-control/data/raw/train/n03445777/ILSVRC2012_val_00013633.JPEG,golf ball
19,/workspace/data-version-control/data/raw/train/n03445777/n03445777_13307.JPEG,golf ball
20,/workspace/data-version-control/data/raw/train/n03445777/n03445777_3595.JPEG,golf ball
21,/workspace/data-version-control/data/raw/train/n03445777/n03445777_11967.JPEG,golf ball
22,/workspace/data-version-control/data/raw/train/n03445777/n03445777_7915.JPEG,golf ball
23,/workspace/data-version-control/data/raw/train/n03445777/ILSVRC2012_val_00038447.JPEG,golf ball
24,/workspace/data-version-control/data/raw/train/n03445777/n03445777_3995.JPEG,golf ball
25,/workspace/data-version-control/data/raw/train/n03445777/n03445777_5699.JPEG,golf ball
26,/workspace/data-version-control/data/raw/train/n03445777/n03445777_2776.JPEG,golf ball
27,/workspace/data-version-control/data/raw/train/n03445777/n03445777_8678.JPEG,golf ball
28,/workspace/data-version-control/data/raw/train/n03445777/n03445777_4246.JPEG,golf ball
29,/workspace/data-version-control/data/raw/train/n03445777/n03445777_889.JPEG,golf ball
30,/workspace/data-version-control/data/raw/train/n03445777/n03445777_8838.JPEG,golf ball
31,/workspace/data-version-control/data/raw/train/n03445777/n03445777_14533.JPEG,golf ball
32,/workspace/data-version-control/data/raw/train/n03445777/n03445777_1746.JPEG,golf ball
33,/workspace/data-version-control/data/raw/train/n03445777/n03445777_7647.JPEG,golf ball
34,/workspace/data-version-control/data/raw/train/n03445777/n03445777_17104.JPEG,golf ball
35,/workspace/data-version-control/data/raw/train/n03445777/n03445777_13576.JPEG,golf ball
36,/workspace/data-version-control/data/raw/train/n03445777/n03445777_2873.JPEG,golf ball
37,/workspace/data-version-control/data/raw/train/n03445777/n03445777_13366.JPEG,golf ball
38,/workspace/data-version-control/data/raw/train/n03445777/n03445777_939.JPEG,golf ball
39,/workspace/data-version-control/data/raw/train/n03445777/n03445777_10008.JPEG,golf ball
40,/workspace/data-version-control/data/raw/train/n03445777/n03445777_11635.JPEG,golf ball
41,/workspace/data-version-control/data/raw/train/n03445777/n03445777_9966.JPEG,golf ball
42,/workspace/data-version-control/data/raw/train/n03445777/n03445777_4047.JPEG,golf ball
43,/workspace/data-version-control/data/raw/train/n03445777/n03445777_2605.JPEG,golf ball
44,/workspace/data-version-control/data/raw/train/n03445777/n03445777_5504.JPEG,golf ball
45,/workspace/data-version-control/data/raw/train/n03445777/n03445777_775.JPEG,golf ball
46,/workspace/data-version-control/data/raw/train/n03445777/n03445777_5768.JPEG,golf ball
47,/workspace/data-version-control/data/raw/train/n03445777/n03445777_1838.JPEG,golf ball
48,/workspace/data-version-control/data/raw/train/n03445777/n03445777_15656.JPEG,golf ball
49,/workspace/data-version-control/data/raw/train/n03445777/n03445777_16559.JPEG,golf ball
50,/workspace/data-version-control/data/raw/train/n03445777/n03445777_5713.JPEG,golf ball
51,/workspace/data-version-control/data/raw/train/n03445777/n03445777_18068.JPEG,golf ball
52,/workspace/data-version-control/data/raw/train/n03445777/n03445777_14568.JPEG,golf ball
53,/workspace/data-version-control/data/raw/train/n03445777/n03445777_3464.JPEG,golf ball
54,/workspace/data-version-control/data/raw/train/n03445777/n03445777_4708.JPEG,golf ball
55,/workspace/data-version-control/data/raw/train/n03445777/n03445777_2687.JPEG,golf ball
56,/workspace/data-version-control/data/raw/train/n03445777/n03445777_574.JPEG,golf ball
57,/workspace/data-version-control/data/raw/train/n03445777/n03445777_7283.JPEG,golf ball
58,/workspace/data-version-control/data/raw/train/n03445777/n03445777_8418.JPEG,golf ball
59,/workspace/data-version-control/data/raw/train/n03445777/n03445777_7939.JPEG,golf ball
60,/workspace/data-version-control/data/raw/train/n03445777/n03445777_3063.JPEG,golf ball
61,/workspace/data-version-control/data/raw/train/n03445777/n03445777_5007.JPEG,golf ball
62,/workspace/data-version-control/data/raw/train/n03445777/n03445777_1475.JPEG,golf ball
63,/workspace/data-version-control/data/raw/train/n03445777/n03445777_1547.JPEG,golf ball
64,/workspace/data-version-control/data/raw/train/n03445777/n03445777_5908.JPEG,golf ball
65,/workspace/data-version-control/data/raw/train/n03445777/n03445777_4509.JPEG,golf ball
66,/workspace/data-version-control/data/raw/train/n03445777/n03445777_6427.JPEG,golf ball
67,/workspace/data-version-control/data/raw/train/n03445777/n03445777_8224.JPEG,golf ball
68,/workspace/data-version-control/data/raw/train/n03445777/n03445777_3307.JPEG,golf ball
69,/workspace/data-version-control/data/raw/train/n03445777/n03445777_1855.JPEG,golf ball
70,/workspace/data-version-control/data/raw/train/n03445777/n03445777_6.JPEG,golf ball
71,/workspace/data-version-control/data/raw/train/n03445777/n03445777_36.JPEG,golf ball
72,/workspace/data-version-control/data/raw/train/n03445777/n03445777_9157.JPEG,golf ball
73,/workspace/data-version-control/data/raw/train/n03445777/n03445777_9854.JPEG,golf ball
